pandaid,IObytesRead,IObytesReadRate,IObytesWritten,IObytesWriteRate,inputfilebytes,hs06sec,maxrss,maxvmem,timeStageIn,timeStageOut,wall_time,cpuconsumptiontime,computingsite,workDirSize
3949304989,301576,2510681,356724,2969799,337388297,4069,266808,1346108,37,9,362,112,DESY-HH_UCORE,675840
3949304990,302376,4914809,319776,5197628,336396684,2664,264596,1345176,25,8,237,79,DESY-HH_UCORE,671744
3949304994,446196,3684715,365500,3018322,334272285,3597,265432,1345092,34,9,320,98,DESY-HH_UCORE,675840
3949305004,305284,4962076,212660,3456568,335381842,3620,242420,1345088,28,8,322,85,DESY-HH_UCORE,684032
3949305005,309296,5108372,305812,5050830,337196418,3563,265836,1234396,145,15,357,72,BNL_PROD,679936
3949305035,241040,1334188,282072,1561306,335738948,4373,259164,1346112,38,13,389,113,DESY-HH_UCORE,671744
3949305037,297552,4836400,303052,4925797,334878815,2934,265660,1345100,28,8,261,81,DESY-HH_UCORE,663552
3949305043,302492,4916695,237532,3860837,334527598,3575,266284,1346220,31,8,318,81,DESY-HH_UCORE,663552
3949305044,300780,2483860,191200,1578941,334842458,3665,265976,1346124,37,9,326,98,DESY-HH_UCORE,667648
3949305048,248260,1366764,283876,1562844,335662811,4373,260840,1346124,37,12,389,112,DESY-HH_UCORE,663552
3949305058,279392,4541228,220708,3587380,335911648,3620,231916,1345108,34,8,322,84,DESY-HH_UCORE,675840
3949305062,452100,3733470,366580,3027241,335341770,3563,256436,1346128,27,8,317,86,DESY-HH_UCORE,663552
3949372601,262348,2166486,333536,2754361,335415847,4242,266388,1235440,88,20,425,70,BNL_PROD,692224
3949372605,426632,3523154,369284,3049571,338090563,4681,265524,1234392,154,64,469,64,BNL_PROD,688128
3949372615,305828,4970918,241292,3921952,336069547,4341,265732,1234396,164,16,435,67,BNL_PROD,688128
3949372616,409568,3409736,369004,3072033,337837424,9203,265064,1233460,629,22,922,55,BNL_PROD,8494730
3949904583,295348,2458832,208388,1734872,338114627,3530,266128,1346108,47,10,314,84,DESY-HH_UCORE,679936
3949904590,360028,2949349,368244,3016654,337151753,4474,265092,1345192,52,9,398,87,DESY-HH_UCORE,684032
3949904591,452272,3734891,366076,3023079,334838590,3755,266272,1346116,47,10,334,99,DESY-HH_UCORE,675840
3949904595,301764,4983973,276380,4564727,337901587,3575,265820,1345180,43,6,318,83,DESY-HH_UCORE,671744
3949904600,292852,2438052,208696,1737436,337017088,3597,265956,1345104,43,10,320,99,DESY-HH_UCORE,671744
3949304943,302084,2474672,195168,1598816,336426833,3170,265476,1345188,33,10,282,85,DESY-HH_UCORE,675840
3949304954,449708,3684007,366452,3001974,335168137,3597,265800,1345104,30,9,320,86,DESY-HH_UCORE,675840
3949304961,295072,1624482,297712,1639016,335351545,5137,266280,1346136,50,14,457,101,DESY-HH_UCORE,692224
3949304969,301648,4982057,249772,4125266,335521998,3563,218656,1346120,28,8,317,86,DESY-HH_UCORE,688128
3949304970,298156,2442493,365788,2996535,334613392,4474,263904,1344080,36,12,398,101,DESY-HH_UCORE,684032
3949304976,352952,2914700,366064,3022980,334789901,4429,264548,1344084,41,11,394,110,DESY-HH_UCORE,696320
3949304982,357684,1476888,367460,1517254,336289625,6003,267708,1346296,52,11,534,116,DESY-HH_UCORE,700416
3949304999,296948,4904431,273632,4519341,336150621,3563,265996,1346132,30,8,317,85,DESY-HH_UCORE,688128
3949305007,278428,2317969,345140,2873360,336067086,7745,266240,1235432,376,95,776,61,BNL_PROD,8755176
3949305011,266280,2216835,281192,2340980,335778724,6567,266140,1234404,238,144,658,71,BNL_PROD,700416
3949305014,277292,4579790,302244,4991900,336378037,3543,266112,1234404,92,21,355,71,BNL_PROD,692224
3949305015,437816,3615512,367516,3034970,336200419,5360,265456,1234384,270,19,537,71,BNL_PROD,684032
3949305031,274804,4538698,351804,5810440,333610276,3473,266152,1234412,91,18,348,69,BNL_PROD,679936
3949305041,420472,3472284,365648,3019544,334484951,3631,265872,1345072,37,11,323,98,DESY-HH_UCORE,663552
3949305045,414264,3421018,368192,3040553,337093707,3653,210048,1345104,34,10,325,100,DESY-HH_UCORE,675840
3949326276,302204,4991240,321332,5307160,334556290,2383,265904,1345100,25,6,212,81,DESY-HH_UCORE,675840
3949372602,269448,4450237,351160,5799803,333876049,3633,265500,1234408,143,14,364,68,BNL_PROD,684032
3949372604,274824,4539028,327140,5403086,334339505,4102,266416,1235428,154,21,411,70,BNL_PROD,684032
3949372607,389360,6430720,364716,6023696,333353889,3882,254340,1219592,146,14,389,60,BNL_PROD,684032
3949372608,304264,4945497,328224,5334942,334614375,4451,266100,1234492,161,30,446,73,BNL_PROD,692224
3949372609,432968,7150955,368096,6079521,336845195,3174,81776,527716,95,17,318,59,BNL_PROD,671744
3949372618,405220,6586433,368672,5992382,337440122,3783,81848,527788,140,12,379,53,BNL_PROD,684032
3949315054,463740,2553063,367744,2024569,336550400,4508,266788,1346132,52,10,401,111,DESY-HH_UCORE,679936
3949315064,332208,5399698,356324,5791678,335665677,2889,205556,1346200,24,6,257,76,DESY-HH_UCORE,671744
3949315084,476964,2640060,369876,2047313,338699193,4519,278968,1363980,35,10,402,112,DESY-HH_UCORE,671744
3949315094,303148,1668943,331044,1822521,337698079,4542,246204,1346132,37,12,404,115,DESY-HH_UCORE,671744
3949315095,356464,2967635,308376,2567292,334379239,5340,265164,1346128,52,13,475,108,DESY-HH_UCORE,733184
3949315110,322448,2641494,368088,3015376,336939682,4497,261408,1345184,46,11,400,108,DESY-HH_UCORE,671744
3949315123,450708,3721975,367396,3033979,336180845,3957,207268,1345200,34,10,352,102,DESY-HH_UCORE,675840
3949315128,310036,2539814,367860,3013509,336758570,4407,262428,1344080,44,9,392,101,DESY-HH_UCORE,684032
3949315132,302092,4989390,315720,5214472,337156610,3080,266792,1346128,25,8,274,79,DESY-HH_UCORE,667648
3949315133,301652,2471133,335124,2745335,339258785,4407,266932,1346216,39,11,392,113,DESY-HH_UCORE,675840
3949315137,448528,3703973,368580,3043757,337370415,3339,265100,1345104,40,8,297,88,DESY-HH_UCORE,675840
3949315145,407664,3313078,367764,2988812,336535553,3665,265376,1345104,39,11,326,100,DESY-HH_UCORE,675840
3949315146,403468,3358953,366520,3051353,335159699,4481,265448,1234400,135,23,449,64,BNL_PROD,688128
3949315155,313404,5094058,337192,5480708,335276951,5779,266792,1235428,305,23,579,76,BNL_PROD,679936
3949315160,277264,4579328,295800,4885470,333782512,4841,266036,1234404,214,21,485,73,BNL_PROD,684032
3949315165,379088,3155984,368864,3070867,337611278,4062,266092,1234404,143,13,407,72,BNL_PROD,679936
3949315166,286992,4739996,367388,6067827,336221939,3393,76324,558400,148,14,340,66,BNL_PROD,671744
3949315168,306756,5066421,336164,5552128,334045513,2874,265772,1234400,89,23,288,69,BNL_PROD,675840
3949315171,411464,3425521,366288,3049422,335024311,3773,265920,1234408,151,16,378,78,BNL_PROD,675840
3949315172,399908,3329315,365256,3040830,333996003,3463,289060,1274220,84,12,347,63,BNL_PROD,667648
3949315174,428804,3541091,368560,3043592,337384168,4920,265372,1234408,214,22,493,77,BNL_PROD,684032
