pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,IOcharRead,IOcharReadRate,IOcharWriteRate,IOcharWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,computingsite,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize
4011516461,2696536.0,178988.0,153091.0,2306392.0,3769222.0,250190.0,151167.0,2277399.0,4,340,3511312,12490430,16388410,NIKHEF-ELPROD_MCORE,3.8323824,59789,340,0.74,0,894247,422756339,74707,2275,3657751,13048320,16955804,2682,1000,1191308122,7116,15495,24,28,15601,1206419469
4011516436,2769316.0,186184.0,151660.0,2255800.0,3718798.0,250019.0,149635.0,2225676.0,4,340,3528080,12571315,16428085,NIKHEF-ELPROD_MCORE,3.8408382,59195,340,0.69,0,883414,423825918,74896,2277,3665818,13039404,16966156,2682,1000,1185283634,6789,15305,17,28,15412,1201021845
4011516002,2531184.0,307100.0,275642.0,2271896.0,2780939.0,337403.0,272374.0,2244959.0,4,340,3457839,12260527,16068408,NIKHEF-ELPROD_MCORE,3.7640686,32307,340,0.91,0,491976,425231165,75145,2280,3649279,13008208,16955108,2682,1000,1224190513,4626,8459,11,21,8583,1233669315
4011516037,2687352.0,325816.0,298168.0,2459308.0,3712842.0,450148.0,294009.0,2425008.0,4,340,3515256,12352566,16043732,NIKHEF-ELPROD_MCORE,3.7725208,32372,340,0.82,0,491862,421381810,74464,2272,3719169,13097952,16970912,2682,1000,1231855256,5180,8489,16,21,8581,1237121358
4011516250,2903108.0,425351.0,329991.0,2252256.0,3309286.0,484863.0,326283.0,2226947.0,8,340,4340192,21859495,28280327,MWT2_MCORE,7.2938075,52530,340,1.07,0,614762,424310974,74982,2278,4635081,23506444,30118112,4464,1000,1210057291,4390,7059,14,27,7202,1228621372
4011516273,2901744.0,479410.0,406867.0,2462660.0,5712599.0,943804.0,402183.0,2434312.0,8,340,4352499,21803156,28193443,MWT2_MCORE,7.3322806,46428,340,0.68,0,540499,425612843,75212,2280,4692620,23328964,30125480,4464,1000,1233400008,4394,6218,10,16,6332,1243742208
4011516128,2696252.0,332006.0,271447.0,2204448.0,2689678.0,331196.0,268296.0,2178857.0,4,340,3460936,12268634,16054698,NIKHEF-ELPROD_MCORE,3.7584295,31879,340,0.68,0,486187,423321325,74807,2276,3649551,13112452,16971220,2682,1000,1219666289,6093,8339,18,22,8482,1234710803
4011516433,2703988.0,328261.0,295771.0,2436364.0,3749676.0,455206.0,292270.0,2407523.0,4,340,3427664,12271384,16123298,NIKHEF-ELPROD_MCORE,3.7912087,32430,340,0.84,0,490314,423825918,74896,2277,3608099,13055344,16958232,2682,1000,1222904360,6777,8479,11,21,8554,1220730370
4011516457,2749232.0,341238.0,298630.0,2405956.0,4895933.0,607689.0,295020.0,2376877.0,4,340,3440985,12256175,16114262,NIKHEF-ELPROD_MCORE,3.7640276,31663,340,0.83,0,482174,422756339,74707,2275,3660570,13034620,16963456,2682,1000,1207174884,6970,8279,13,21,8412,1222554616
4011515641,2827856.0,349092.0,299674.0,2427536.0,4534886.0,559822.0,296150.0,2398995.0,8,340,4338191,21857539,27970277,SWT2_CPB_DEV_MCORE,7.2942553,62344,340,1.91,0,713161,426108225,75300,2281,4704456,23624592,30167280,4464,1000,1215288001,12000,8339,21,34,8547,1233918655
4011516012,2729496.0,328669.0,294458.0,2445384.0,5342246.0,643280.0,290884.0,2415704.0,4,340,3444464,12307395,16092334,NIKHEF-ELPROD_MCORE,3.7806602,32646,340,0.75,0,494957,425231165,75145,2280,3637780,13125720,16965260,2682,1000,1227096238,4744,8529,12,23,8635,1219087555
4011516035,2705616.0,338243.0,277404.0,2218964.0,2695921.0,337031.0,274219.0,2193487.0,4,340,3532239,12439527,16164686,NIKHEF-ELPROD_MCORE,3.7543402,31574,340,0.85,0,482060,421381810,74464,2272,3715057,13158988,16979848,2682,1000,1222536303,5124,8269,16,21,8410,1237918164
4011516024,2745144.0,330709.0,276147.0,2292244.0,2840314.0,342174.0,272765.0,2264165.0,4,340,3436789,12280559,16145080,NIKHEF-ELPROD_MCORE,3.7778034,32814,340,0.57,0,497880,421381810,74464,2272,3620063,12965256,16960644,2682,1000,1200140842,5013,8559,15,21,8686,1182800206
4011515955,2993764.0,533150.0,426275.0,2393636.0,3130691.0,557535.0,418553.0,2350273.0,8,340,4051148,21644097,27950888,MWT2_MCORE,7.27761,43360,340,0.9,0,508574,425220536,75143,2280,4379256,23466052,30128748,4464,1000,1233683257,4325,5817,18,27,5958,1251956296
4011515971,2834044.0,272493.0,215068.0,2236792.0,4194176.0,403271.0,212179.0,2206751.0,8,340,4440584,22504833,28973916,MWT2_MCORE,7.586258,82144,340,0.62,0,924278,424628955,75038,2278,4648736,23580832,30146568,4464,1000,1211058029,4360,10723,13,21,10828,608001317
4011515972,3175552.0,266997.0,220912.0,2627440.0,4716370.0,396548.0,202379.0,2407005.0,8,340,4418790,22236556,28707408,MWT2_MCORE,7.5062194,93535,340,0.75,0,1063670,424628955,75038,2278,4652425,23528104,30151096,4464,1000,1219195057,4361,12234,35,32,12461,1109798181
4011516228,2902704.0,438208.0,365946.0,2424036.0,5412253.0,817064.0,361025.0,2391442.0,8,340,4262407,21205926,27318322,SWT2_CPB_DEV_MCORE,7.1667147,49866,340,2.57,0,580575,422426275,74649,2274,4701003,23566224,30161636,4464,1000,1211455763,16836,6818,13,22,6958,1197459805
4011516419,2824956.0,368363.0,314871.0,2414732.0,5069010.0,660978.0,310768.0,2383269.0,8,340,4350396,21893951,28008495,SWT2_CPB_DEV_MCORE,7.323773,59242,340,3.1,0,674946,424692997,75049,2279,4722761,23614668,30132264,4464,1000,1207257448,18465,7889,20,32,8089,1214898939
4011516163,2856020.0,401836.0,339124.0,2410304.0,5680062.0,799173.0,334527.0,2377626.0,8,340,4234934,21204989,27490576,SWT2_CPB_DEV_MCORE,7.139425,52896,340,2.09,0,618206,424702798,75051,2279,4649556,23471204,30149444,4464,1000,1204376679,15088,7308,16,21,7409,1222851762
4011516224,2940572.0,432201.0,351171.0,2389268.0,3403340.0,500218.0,347094.0,2361527.0,8,340,4273912,21410319,27550059,SWT2_CPB_DEV_MCORE,7.103126,50901,340,8.26,0,597931,422426275,74649,2274,4665964,23551084,30144956,4464,1000,1201656710,16619,7038,15,23,7166,1220775199
4011516075,2821264.0,406783.0,349515.0,2424080.0,4990548.0,719560.0,344708.0,2390738.0,8,340,4249552,21216199,27599811,SWT2_CPB_DEV_MCORE,7.0884614,51604,340,1.66,0,607443,425536696,75199,2280,4638170,23232876,30166224,4464,1000,1211114580,13798,7138,16,22,7280,1229895856
4011515856,2953552.0,367266.0,303080.0,2437368.0,4832523.0,600911.0,298778.0,2402771.0,8,340,4392587,21990613,28400084,SWT2_CPB_MCORE,7.4922876,63145,340,1.33,0,703232,424661767,75044,2278,4696904,23376596,30134872,4464,1000,1217254142,12836,8279,14,28,8428,1235941883
4011516279,3631104.0,509488.0,344637.0,2456212.0,3644830.0,511414.0,342305.0,2439592.0,8,340,3956550,21425776,28041256,IN2P3-CC_CL7_MCORE_HIMEM,7.2843018,54523,340,0.9,0,651190,425948973,75271,2281,4314566,23403924,30290172,4464,1000,1235959748,19247,7368,7,17,7485,1531689171
4011516284,2946032.0,387307.0,316310.0,2405996.0,4291794.0,564231.0,314123.0,2389362.0,8,340,3964484,21510421,28175683,IN2P3-CC_CL7_MCORE_HIMEM,7.374921,58343,340,0.85,0,688252,423504726,74839,2276,4292299,23190940,30274296,4464,1000,1210081481,19907,7840,8,15,7911,1304276928
4011516303,3145624.0,422441.0,325472.0,2423564.0,6078279.0,816283.0,323173.0,2406446.0,8,340,3934762,21302223,27801642,IN2P3-CC_CL7_MCORE_HIMEM,7.2649994,56064,340,1.65,0,671374,423123546,74772,2276,4282685,23409660,30263528,4464,1000,1218749510,21060,7650,8,17,7717,1900934566
4011516294,3197232.0,407716.0,309625.0,2428020.0,4577412.0,583719.0,307622.0,2412314.0,8,340,3976316,21502532,28061607,IN2P3-CC_CL7_MCORE_HIMEM,7.334514,60055,340,0.91,0,712351,423123546,74772,2276,4293002,23344532,30290288,4464,1000,1221857455,20815,8082,8,15,8188,1481455014
4011516323,2531372.0,343737.0,328184.0,2416832.0,3771141.0,512087.0,326214.0,2402324.0,8,340,3916420,21394615,27941732,IN2P3-CC_CL7_MCORE_HIMEM,7.3037086,56129,340,1.7,0,668590,425720204,75231,2280,4272859,23236868,30261360,4464,1000,1216659965,21322,7610,8,18,7685,2530063988
4011516313,2925348.0,387323.0,298096.0,2251440.0,3594899.0,475973.0,295888.0,2234768.0,8,340,3929543,21321981,27915739,IN2P3-CC_CL7_MCORE_HIMEM,7.3376226,57593,340,0.74,0,682858,423163927,74779,2276,4274347,23304856,30253824,4464,1000,1188579364,21166,7760,8,15,7849,1322113001
4011516326,3110328.0,422971.0,315125.0,2317280.0,3605428.0,490299.0,312834.0,2300431.0,8,340,3976976,21540477,28186240,IN2P3-CC_CL7_MCORE_HIMEM,7.402401,56732,340,0.68,0,666763,425720204,75231,2280,4267686,23369508,30259076,4464,1000,1204107237,21351,7599,6,9,7664,1641985652
4011516301,3269028.0,444966.0,323278.0,2375020.0,4990449.0,679279.0,321246.0,2360096.0,8,340,3959390,21522963,28115536,IN2P3-CC_CL7_MCORE_HIMEM,7.391724,56628,340,0.86,0,666502,423123546,74772,2276,4273629,23324588,30307460,4464,1000,1195081697,21054,7558,8,39,7661,1665922470
4011516324,3032540.0,391838.0,312954.0,2422032.0,3791094.0,489852.0,310734.0,2404856.0,8,340,3960357,21571231,28136212,IN2P3-CC_CL7_MCORE_HIMEM,7.31515,59004,340,0.84,0,701737,425720204,75231,2280,4274203,23433196,30278308,4464,1000,1218001454,21348,7991,8,16,8066,1464530548
