pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,IOcharRead,IOcharReadRate,IOcharWriteRate,IOcharWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,computingsite,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize
3905118686,7018808,869601,177738,1434580,5982917,741259,177329,1431275,1,901,2107610,2133439,3729630,IFIC,0.8990485,7748,901,1.59,0,111756,7131764046,86400,7101,2504967,2546776,4154628,1900,10000,1439786416,578,8309,186,50,8618,13577696
3905287085,3430740,2525577,1076491,1462304,2817293,2073982,1039647,1412255,1,5000,904742,940827,1940103,IFIC,0.4679226,919,5000,2.35,0,25468,1440735443,0,3522,1363405,1414972,2604436,0,9764,1424729628,3632,1473,303,68,1964,11120766
3905332197,6139840,703501,166211,1450620,5676157,650373,163849,1429999,1,901,2124830,2170761,3717633,IFIC,0.86567926,8475,901,18.53,0,126954,7114957302,86400,7085,2505226,2542816,4137292,1900,10000,1438451311,1089,9000,652,61,9790,13605766
3906038660,6531584,3522033,1511417,2802912,5326220,2872064,1515312,2810135,1,5000,1218498,1227313,2243350,RAL-LCG2_UCORE,0.29807368,1764,5000,1.3,0,59180,2882419294,0,6547,1440618,1450156,2532300,0,19508,2851642702,4510,1975,3729,92,5918,355423231
3905632147,14438996,939838,185844,2855180,11529455,750455,185400,2848352,1,582,1886372,1907308,4040166,RAL-LCG2_UCORE,0.9016284,14784,582,2.5,0,163970,14259154189,38377,16660,2410317,2430240,4723032,2565,20000,2885109378,1476,15810,398,70,16397,1015651252
3905632089,18194532,1313721,206367,2858104,12121168,875199,206126,2854772,1,582,1067704,1076857,4031796,RAL-LCG2_UCORE,0.6888473,12878,582,3.22,0,186950,14270927845,38377,16674,2096585,2106168,4755492,2565,20000,2891584991,1065,14206,4271,74,18695,2108686798
3906038807,6332252,3651028,1617246,2804912,5290553,3050409,1620511,2810574,1,5000,1190983,1205871,2236172,RAL-LCG2_UCORE,0.2803069,1644,5000,1.36,0,58650,2881444238,0,6545,1433292,1448852,2527408,0,19496,2852104715,5320,1855,3784,87,5865,387487148
3906038688,6897012,3978895,1626218,2818884,5743168,3313242,1630428,2826181,1,5000,1183457,1192119,2238504,RAL-LCG2_UCORE,0.28203353,1631,5000,1.46,0,57830,2897889029,0,6580,1483390,1492904,2533660,0,19514,2868063522,4541,1825,3767,83,5783,344090631
3906038656,5737916,3313945,1617615,2800812,5272761,3045294,1621918,2808263,1,5000,866552,880760,2140783,RAL-LCG2_UCORE,0.28219897,1617,5000,1.66,0,57300,2882425588,0,6547,1387685,1403512,2522624,0,19496,2849794030,4474,1794,3726,76,5730,607795891
3906038741,6255988,3266767,1467769,2810836,5512367,2878462,1468734,2812683,1,5000,1232141,1243490,2243802,RAL-LCG2_UCORE,0.2871812,1734,5000,1.54,0,60380,2881956983,0,6546,1448787,1460724,2576592,0,19492,2854240618,4713,2024,3770,84,6038,459917795
3905632066,14350372,922517,182914,2845364,11729537,754036,182665,2841483,1,582,1466444,1483421,3994067,RAL-LCG2_UCORE,0.62296313,14910,582,3.63,0,239340,14221822487,38377,16617,2131838,2159500,4678700,2565,20000,2878032125,1069,15991,7759,58,23934,2048054603
