pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,IOcharRead,IOcharReadRate,IOcharWriteRate,IOcharWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,computingsite,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize
3949326261,305616,2523796,3042733,368456,396336,3272970,2727205,330247,1,895,110968,116853,727794,DESY-HH_UCORE,0.31791908,110,895,,0,3889,337409933,600,941,255625,265148,1345092,247,10000,335528078,119,202,49,14,346,688128
3949304944,466752,3854468,3024598,366260,682460,5635804,2708206,327946,1,895,110739,116668,698801,DESY-HH_UCORE,0.2901024,85,895,,0,3294,335010384,600,937,254859,265796,1345104,247,10000,333176934,183,162,40,9,293,684032
3949304951,404652,2215848,2011223,367284,403553,2209833,1801683,329018,1,895,186522,194926,1015155,DESY-HH_UCORE,0.2406181,109,895,,0,5092,336128296,600,939,254933,265924,1345112,247,10000,334259103,220,242,58,13,453,684032
3949304956,382976,3137339,2999549,366156,405147,3318966,2686047,327886,1,895,152114,158417,813281,DESY-HH_UCORE,0.26509187,101,895,,0,4283,335011666,600,937,256427,265968,1345108,247,10000,333139880,234,192,37,9,381,671744
3949304974,448336,1821809,1491269,366992,399740,1624341,1335536,328667,1,895,151395,157526,866120,DESY-HH_UCORE,0.12588401,89,895,,0,7948,335801854,600,938,274644,281508,1367608,247,10000,333931883,415,333,73,18,707,712704
3949304980,301032,4892964,5434546,334352,357894,5817202,4869643,299597,1,895,128640,134450,731026,DESY-HH_UCORE,0.30039525,76,895,,0,2844,335645653,600,938,256751,266644,1346128,247,10000,333784767,425,112,25,6,253,684032
3949304981,451928,3702194,3035037,370488,546597,4477724,2720996,332152,1,895,111519,116646,698730,DESY-HH_UCORE,0.28486648,96,895,,0,3788,339396086,600,945,256234,265688,1345096,247,10000,337485320,460,162,41,9,337,692224
3949304987,449252,3680272,2998108,365980,409365,3353518,2683644,327593,1,895,171045,184860,945816,DESY-HH_UCORE,0.33670035,100,895,,0,3339,334685607,600,936,264210,288292,1376320,247,10000,332830513,490,172,36,12,297,684032
3949304993,337164,2806958,2955413,354996,381056,3172371,2648720,318156,1,895,148654,156442,935713,DESY-HH_UCORE,0.2823834,109,895,,0,4339,336971034,600,940,254168,264624,1346124,247,10000,335135252,485,192,33,10,386,679936
3949304996,441916,3649370,3031370,367080,691604,5711313,2715076,328778,1,895,110382,116666,698820,DESY-HH_UCORE,0.27109975,106,895,,0,4395,335933189,600,938,253950,265604,1345104,247,10000,334028604,485,152,36,9,391,696320
3949305000,303132,5006567,4685031,283664,309823,5117079,4201705,254400,1,895,129178,134186,731032,DESY-HH_UCORE,0.3079848,81,895,,0,2956,336329091,600,939,257836,266116,1346136,247,10000,334494075,542,132,27,8,263,684032
3949305018,268148,4358469,5240799,322432,336910,5476126,4696354,288935,1,895,129306,134446,623722,BNL_PROD,0.18414322,72,895,,0,3902,336708964,600,940,257865,266808,1235432,247,10000,334889698,27673,112,154,20,391,671744
3949305020,346988,2888745,3056215,367104,390149,3248074,2735499,328580,1,895,142990,152192,696385,BNL_PROD,0.17142858,66,895,,0,3842,335822353,600,938,245951,265592,1234484,247,10000,333969363,25476,162,82,14,385,671744
3949305021,313400,5176154,4632906,280508,294386,4862122,4149296,251226,1,895,130719,134298,623206,BNL_PROD,0.14814815,84,895,,0,5659,334168504,600,935,260679,266512,1234408,247,10000,332287525,28721,122,227,21,567,675840
3949305024,303340,5010002,5379369,325704,339732,5611063,4820360,291857,1,895,128560,134080,623212,BNL_PROD,0.21538462,70,895,,0,3244,338006086,600,942,256364,266084,1234412,247,10000,336114568,29212,112,90,19,325,675840
3949305030,284844,4629845,5931268,364912,374802,6092032,5308706,326609,1,895,129433,134084,623210,BNL_PROD,0.14348786,65,895,,0,4521,334890103,600,936,258110,266096,1234408,247,10000,333001459,27753,102,136,52,453,679936
3949305049,254504,4136699,4642393,285616,314653,5114368,4165419,256270,1,895,130079,135960,797720,DESY-HH_UCORE,0.31764707,81,895,,0,2866,338238714,600,943,255543,264140,1346192,247,10000,336381464,555,122,30,6,255,663552
3949305056,427660,3503390,3021340,368816,607111,4973456,2707264,330476,1,895,108582,115820,698750,DESY-HH_UCORE,0.310559,100,895,,0,3620,337655203,600,942,248658,263256,1345096,247,10000,335767520,580,162,38,8,322,675840
3949305059,386400,3165388,3019145,368548,408759,3348557,2705442,330254,1,895,155221,162425,821754,DESY-HH_UCORE,0.2596401,101,895,,0,4373,337463652,600,941,254521,265824,1345100,247,10000,335563866,575,182,50,9,389,675840
3949372600,308096,5088553,6059437,366880,377133,6228780,5423695,328387,1,895,39189,41520,292560,BNL_PROD,0.17534247,64,895,,0,3643,335706888,600,938,77612,80968,573116,247,10000,333827708,31705,102,150,16,365,679936
3949372610,358208,5916209,6074301,367780,382583,6318795,5438518,329285,1,895,76009,78936,399736,BNL_PROD,0.1724138,65,895,,0,3763,336539048,600,940,151366,155796,787476,247,10000,334693183,32177,102,152,15,377,675840
3949315100,452224,3734494,3041313,368284,734971,6069442,2724804,329956,1,895,114144,119953,700942,DESY-HH_UCORE,0.28653294,100,895,,0,3923,337078218,600,941,255215,265576,1345108,247,10000,335235997,378,162,34,9,349,671744
3949315104,418720,3457816,3039694,368088,741208,6120946,2723976,329856,1,895,107224,113766,701833,DESY-HH_UCORE,0.28370786,101,895,,0,4002,336846009,600,940,231997,244716,1345080,247,10000,335029159,395,152,35,9,356,675840
3949315107,367496,3010527,3008266,367220,411873,3374070,2694323,328896,1,895,139428,158945,871730,DESY-HH_UCORE,0.25252524,100,895,,0,4452,336074591,600,939,211795,242556,1345184,247,10000,334171353,402,182,51,11,396,671744
3949315116,301504,2489839,1821101,220524,264307,2182670,1633587,197817,1,895,85276,88996,487002,DESY-HH_UCORE,0.29341316,98,895,,0,3755,333143820,600,933,255312,264720,1345092,247,10000,331313871,402,152,33,8,334,667648
3949315117,452776,3739053,3031337,367076,739383,6105880,2715820,328868,1,895,115131,120869,701868,DESY-HH_UCORE,0.2624672,100,895,,0,4283,335865328,600,938,255337,265920,1345108,247,10000,334012443,380,152,34,11,381,659456
3949315125,276920,2268528,2597421,317068,356917,2923864,2328565,284248,1,895,146086,170173,998906,DESY-HH_UCORE,0.27114427,109,895,,0,4519,336494246,600,939,216611,251112,1345096,247,10000,334623321,384,212,49,13,402,679936
3949315129,413820,2242072,1988510,367020,407692,2208874,1780888,328699,1,895,169100,176843,908782,DESY-HH_UCORE,0.21914893,103,895,,0,5284,335841704,600,938,254780,265488,1346128,247,10000,333968823,421,262,60,13,470,684032
3949315136,303216,4928463,5545853,341200,358019,5819238,4967472,305615,1,895,128101,133292,731006,DESY-HH_UCORE,0.35023043,76,895,,0,2439,334770596,600,936,255781,264324,1346104,247,10000,332926264,521,112,26,8,217,671744
3949315138,383536,3167265,3019445,365636,406256,3354888,2702707,327281,1,895,159843,179296,941322,DESY-HH_UCORE,0.2682927,99,895,,0,4148,334367112,600,935,254583,279328,1363980,247,10000,332512945,549,172,44,12,369,688128
3949315139,385008,3153985,3020488,368712,408407,3345670,2706527,330386,1,895,129532,145356,812574,DESY-HH_UCORE,0.28065395,103,895,,0,4126,337584577,600,942,200110,228344,1344072,247,10000,335699690,549,182,45,12,367,684032
3949315142,450108,3658020,2981985,366924,703411,5716614,2670621,328611,1,895,100956,110036,698813,DESY-HH_UCORE,0.30063292,95,895,,0,3552,335739366,600,938,226341,245820,1345104,247,10000,333858555,551,162,37,12,316,671744
3949315149,269332,4448322,4786968,289836,308041,5087650,4287766,259610,1,895,129199,134100,623202,BNL_PROD,0.1611479,73,895,,0,4521,335369455,600,937,257640,266124,1234392,247,10000,333438114,35722,122,153,21,453,692224
3949315152,413284,3440673,3039065,365044,681091,5670227,2718369,326522,1,895,100184,104637,591506,BNL_PROD,0.14955357,67,895,,0,4471,333698326,600,934,221533,229768,1234488,247,10000,331838158,28078,152,143,15,448,671744
3949315157,334580,5525966,6053359,366512,382012,6309360,5417455,328009,1,895,92484,96352,427806,BNL_PROD,0.08372093,54,895,,0,6438,335272441,600,937,184344,190624,843608,247,10000,333386390,6837,102,362,20,645,692224
3949315158,271712,4487630,5716628,346124,358423,5919772,5120184,310011,1,895,129736,134656,623764,BNL_PROD,0.23489933,70,895,,0,2974,336677826,600,940,258713,267236,1235516,247,10000,334784041,36283,112,93,18,298,675840
3949315178,406540,3384528,3056848,367180,685967,5710820,2736105,328653,1,895,111615,115658,587092,BNL_PROD,0.13461539,63,895,,0,4671,335881790,600,938,256565,265116,1233472,247,10000,334020110,27878,152,192,18,468,692224
3949315182,280292,2314669,2890685,350044,358486,2960402,2586047,313154,1,895,172808,179028,836025,BNL_PROD,0.15778251,74,895,,0,4681,333350381,600,933,257797,265932,1234400,247,10000,331460024,36673,192,104,15,469,671744
3949288421,353132,2869898,2991250,368064,398279,3236812,2680269,329798,1,901,134632,140502,785276,DESY-HH_UCORE,0.31230283,99,901,,0,3563,336994553,86400,621,256590,266040,1346132,1800,10000,335099572,154,182,30,10,317,679936
3949904586,475480,3895132,2995322,365640,668689,5477907,2681501,327331,1,895,111545,118436,763305,DESY-HH_UCORE,0.24927536,86,895,,0,3878,334336948,600,935,255069,265120,1345104,247,10000,332546899,531,162,47,13,345,692224
3949904587,294308,4783672,4890298,300868,330515,5372195,4384134,269727,1,895,128061,133414,731010,DESY-HH_UCORE,0.2977941,81,895,,0,3058,336170381,600,939,255742,264568,1346104,247,10000,334311550,507,122,41,8,272,684032
3949904593,294308,4783672,4777236,293912,322872,5247959,4286247,263704,1,895,128171,133544,731016,DESY-HH_UCORE,0.2610063,83,895,,0,3575,337841144,600,942,255824,264832,1346112,247,10000,335958685,555,132,38,8,318,671744
3949904597,301964,4908113,3950429,243044,281329,4572719,3547084,218228,1,895,129653,135780,731028,DESY-HH_UCORE,0.25308642,82,895,,0,3642,338210942,600,943,258945,269304,1346124,247,10000,336330547,567,132,40,8,324,675840
3949288420,301780,4984237,5508789,333540,355113,5865103,4936244,298874,1,901,132633,140112,771700,DESY-HH_UCORE,0.30739298,79,901,,0,2889,336266020,86400,620,254939,266532,1346116,1800,10000,334328479,180,112,25,8,257,684032
3949288426,438232,588910,493858,367500,410207,551250,442283,329120,1,901,145927,153392,840716,DESY-HH_UCORE,0.19607843,260,901,,0,14907,336254393,86400,620,254678,265868,1346128,1800,10000,334359410,247,853,134,20,1326,729088
3949288427,401728,2223618,2031217,366968,401693,2223429,1819458,328710,1,901,145574,152817,918202,DESY-HH_UCORE,0.2527964,113,901,,0,5025,335833920,86400,620,254066,265292,1346220,1800,10000,333946803,339,242,37,10,447,684032
3949315057,453256,3773448,3060078,367568,733545,6106914,2740955,329235,1,895,114623,120405,701304,DESY-HH_UCORE,0.3125,100,895,,0,3597,336341165,600,939,256494,266952,1346128,247,10000,334497789,320,152,38,9,320,671744
3949315081,449096,3708663,3028331,366712,725285,5989450,2711939,328398,1,895,113639,119854,744104,DESY-HH_UCORE,0.23931624,84,895,,0,3946,335506828,600,938,254094,264540,1345088,247,10000,333640178,370,162,40,9,351,675840
3949315092,275516,1525018,1592214,287656,320989,1776722,1426428,257704,1,895,111209,118076,701781,DESY-HH_UCORE,0.2745592,109,895,,0,4463,334004596,600,935,251588,265832,1346116,247,10000,332092302,351,212,35,10,397,671744
3949315097,349076,2882692,3023310,366104,400327,3305929,2707025,327803,1,895,133324,140516,839213,DESY-HH_UCORE,0.25255102,99,895,,0,4407,334940254,600,936,254129,264096,1344088,247,10000,333055449,351,192,50,11,392,684032
3949315102,447812,3698060,3028199,366696,404772,3342636,2712289,328441,1,895,167853,173846,936597,DESY-HH_UCORE,0.32822084,107,895,,0,3665,335472831,600,937,257397,265932,1348764,247,10000,333647778,381,162,38,11,326,675840
3949315120,302204,2495620,2849891,345104,373662,3085725,2554643,309351,1,895,159069,171416,935722,DESY-HH_UCORE,0.28426397,112,895,,0,4429,337229314,600,941,250707,265824,1346132,247,10000,335394485,406,192,42,10,394,671744
3949315131,313276,5091978,3609031,222040,266084,4324928,3238303,199231,1,895,97055,104920,730508,DESY-HH_UCORE,0.30625,98,895,,0,3597,334629482,600,936,193600,207572,1345088,247,10000,332732221,490,142,38,9,320,671744
3949315135,450600,2454331,1998259,366868,652915,3556303,1789491,328539,1,895,132345,143987,898362,DESY-HH_UCORE,0.24697337,102,895,,0,4643,335635685,600,938,225878,246544,1346108,247,10000,333783730,544,232,56,13,413,688128
3949315141,448524,2456088,2008178,366728,733583,4017057,1798176,328377,1,895,143266,151296,886681,DESY-HH_UCORE,0.22149123,101,895,,0,5126,335487235,600,938,254274,266972,1346128,247,10000,333617988,525,232,51,12,456,688128
3949315143,445000,3674838,3034838,367500,408118,3370268,2717958,329127,1,895,136244,156066,935902,DESY-HH_UCORE,0.23677582,94,895,,0,4463,336279931,600,939,217465,249116,1346672,247,10000,334387586,521,172,44,12,397,688128
3949315144,278952,4534076,4841602,297872,320043,5201982,4336884,266820,1,895,109494,115476,731014,DESY-HH_UCORE,0.3203125,82,895,,0,2878,333981395,600,935,218637,228696,1346112,247,10000,332161347,541,122,25,8,256,671744
