pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,IOcharRead,IOcharReadRate,IOcharWriteRate,IOcharWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,computingsite,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize
3907662315,16238768,955386,896402,15236224,25267282,1486566,878081,14924812,4,901,6269340,8521729,15450456,CERN-PROD_T0_MCORE,2.6484578,47222,901,1154.85,0,1203881,2990254251,86400,3151,10595417,13105988,20810728,11400,1000,940920459,2854,17526,147,32,17830,14294611797
3907662314,9131264,583088,825193,12922656,20978819,1339630,805443,12613366,4,901,5071934,7261279,12362524,CERN-PROD_T0_MCORE,2.2029948,36193,901,1124.48,0,1109286,2522545211,86400,2705,9613298,12087200,20200492,11400,1000,837255047,2822,16177,127,31,16429,12094390163
3907662313,14982048,1026744,946349,13808936,23583847,1616240,923426,13474454,4,901,6187437,8483186,15063204,CERN-PROD_T0_MCORE,2.6920981,41496,901,1247.19,0,1040753,2674828975,86400,2850,10915292,13269812,20642216,11400,1000,873817540,2711,15050,178,21,15414,12876753233
3907662308,15799456,873718,817447,14781904,25089025,1387436,800877,14482272,4,901,5784546,7845862,14585505,CERN-PROD_T0_MCORE,2.4212818,45600,901,1216.5,0,1271604,2890120544,86400,3056,10938763,13239924,20899544,11400,1000,920338944,2673,18571,134,17,18833,13862394208
3907662305,15103572,794638,794693,15104616,25170628,1324293,777510,14778011,4,901,5557813,7613559,14022914,CERN-PROD_T0_MCORE,2.2952526,45687,901,939.6,0,1343985,2945868187,86400,3109,11204227,13557100,21162760,11400,1000,933966077,2655,19566,174,24,19905,14151802828
3907662311,13314920,758271,786778,13815488,21674992,1234369,732440,12861335,4,901,5130921,7148956,12632893,CERN-PROD_T0_MCORE,2.0718231,38625,901,1255.2,0,1258775,2559258641,86400,2740,10669690,12932484,20624016,11400,1000,847591528,2685,18140,255,25,18643,12275562375
3907662309,15031708,815106,750090,13832728,23123110,1253869,719562,13269736,4,901,5024038,7239152,12681845,CERN-PROD_T0_MCORE,2.0960753,40536,901,1361.94,0,1305769,2645568038,86400,2823,10488021,12907392,20052656,11400,1000,865567811,2674,18972,163,25,19339,12675968820
3907662312,15820608,938332,924862,15593504,25361584,1504214,887740,14967614,4,901,6201994,8614206,14745051,CERN-PROD_T0_MCORE,2.602104,46752,901,1248.0,0,1213131,2994951010,86400,3156,11551421,13870196,20848580,11400,1000,941043813,2689,17435,256,52,17967,14338748315
3907662307,14942728,778219,819877,15742604,26529990,1381686,803135,15421149,4,901,6164964,8305415,15121617,CERN-PROD_T0_MCORE,2.4914873,49902,901,1100.05,0,1352358,3110589513,86400,3266,11952396,14244924,21311692,11400,1000,965697794,2655,19727,153,14,20029,14839482584
3907662310,12210620,848627,962800,13853420,22033401,1531301,916530,13187656,4,901,5556971,7868814,13751659,CERN-PROD_T0_MCORE,2.5625658,38951,901,1053.57,0,1026303,2630535822,86400,2808,10128971,12207924,20204832,11400,1000,862148458,2677,14868,174,30,15200,12637291890
3907924183,16909960,1547435,1450803,15854000,23293316,2131577,1277633,13961640,4,450,7368745,10320448,17126161,CERN-PROD_T0_4MCORE,3.5368392,40419,450,1092.09,0,822816,2797641982,24998,14868,11248864,13576776,20647364,10947,1000,899507097,862,11256,70,18,11428,13423607607
3907924408,8178244,1049570,1949224,15188344,26237759,3367272,1929469,15034412,8,450,12146078,17996991,29175238,BU_ATLAS_Tier2_MCORE,6.8050785,55475,450,480.56,0,1305146,2996154051,11572,17734,18909552,23330744,37199196,19995,1000,940986504,1684,8000,77,17,8152,14435816750
