pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,IOcharRead,IOcharReadRate,IOcharWriteRate,IOcharWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,computingsite,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize
3848970521,5323252,2139328,68206,169716,131727593,52939189,48644,121040,8,560,4658399,9202463,21166638,FZK-LCG2_UCORE,5.2120285,15339,560,15.84,0,295689,20597476818,6129,20014,6272371,13772500,24257348,6786,100000,20335042,1084,2597,171,33,2943,48366126
3848970650,8622664,3308208,66212,172580,131001485,50260592,41441,108015,8,560,4003162,7996733,20935549,FZK-LCG2_UCORE,4.68562,14174,560,20.63,0,303927,20608902775,6129,20025,5413129,11958560,24178900,6786,100000,20829681,1467,2736,151,29,3025,50944393
3849271722,1392496,11499321,88922,10768,249928,2063923,111629,13517,1,5000,634767,754266,1701953,FZK-LCG2_UCORE,0.3413793,99,5000,1.47,0,3642,26636555,0,555,1326193,1336020,2451816,0,276,13205031,582,173,39,14,290,1687552
3849271784,1393404,11506820,166912,20212,255005,2105852,149091,18054,1,5000,665245,672673,1463582,FZK-LCG2_UCORE,0.31578946,102,5000,1.02,0,4056,27118031,0,556,1382788,1392492,2530412,0,287,13564294,691,173,38,9,323,1687552
3848970638,20839936,5899943,46721,165032,132168080,37417781,34362,121376,8,560,2899158,4513158,20718442,FZK-LCG2_UCORE,4.196915,17413,560,20.09,0,416858,20650128685,6129,20064,5214353,8485352,24246404,6786,100000,20631413,1680,3683,284,35,4149,52460243
3849271834,1265392,10449688,87667,10616,152240,1257211,110948,13435,1,5000,449375,456800,1248776,FZK-LCG2_UCORE,0.25897437,101,5000,1.07,0,4898,26943619,0,556,935963,945580,2103060,0,280,13529302,730,203,49,13,390,1699840
3849271788,1257240,10382369,253985,30756,153168,1264873,110943,13434,1,5000,474850,482233,1273884,FZK-LCG2_UCORE,0.24547803,95,5000,1.31,0,4860,25300764,0,553,941377,950840,2104060,0,242,11876605,691,193,33,11,387,1695744
3849271818,1237532,10219619,154954,18764,134640,1111866,110956,13436,1,5000,463594,471097,1267654,FZK-LCG2_UCORE,0.2627551,103,5000,1.91,0,4923,26800603,0,556,844621,854356,2028448,0,274,13384523,723,193,35,12,392,1699840
3849271822,1414292,11774268,241397,28996,284645,2369733,234884,28213,1,5000,311402,316997,989612,FZK-LCG2_UCORE,0.2792793,93,5000,1.02,0,4182,27098140,0,556,697897,707488,1755884,0,278,13527576,726,153,34,8,333,1687552
3848970720,8085852,3245751,67703,168664,132036275,53000841,48182,120031,8,560,4890288,9910730,21716613,FZK-LCG2_UCORE,5.6632724,16684,560,18.11,0,295990,20592236532,6129,20009,5939429,13325240,24227572,6786,100000,21662559,2285,2616,174,34,2946,52144140
