pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize,computingsite,jobstatus
4051885739,1940308.0,5284243.0,137717.0,50568.0,1.0,1100,1519582.0,1571761.0,2930994.0,0.69500923,376,1100,14.97,0,6757,17320440,0,407,2880954.0,2970044.0,4511504.0,2823,14,40707508,2288,444,12,35,541,5406720.0,SLACXRD_LMEM,finished
4051885750,1945768.0,6469046.0,133665.0,40204.0,1.0,1100,1214808.0,1222830.0,2356362.0,0.50653595,310,1100,12.17,0,7686,7906412,0,380,2486980.0,2496552.0,4459244.0,2823,7,27482243,2003,385,24,107,612,5386240.0,FZK-LCG2,finished
4051885756,2709580.0,6452581.0,191740.0,80516.0,1.0,1100,1626212.0,1634797.0,3050826.0,0.58519554,419,1100,16.09,0,8992,17177264,0,406,2868583.0,2877976.0,4568460.0,2823,14,40147394,2081,464,35,73,716,5447680.0,FZK-LCG2,finished
4051885757,2718692.0,5681511.0,147539.0,70600.0,1.0,1100,1545078.0,1553593.0,3064979.0,0.61182517,476,1100,16.74,0,9770,20154276,0,414,2764152.0,2773408.0,4464048.0,2823,17,44332794,1828,535,25,103,778,5814534.0,FZK-LCG2,finished
4051885761,2720216.0,5661587.0,170949.0,82136.0,1.0,1100,1718444.0,1727117.0,3163379.0,0.61273885,481,1100,13.85,0,9858,21170136,0,417,2839187.0,2848424.0,4570552.0,2823,17,47452193,1864,525,20,92,785,5873631.0,FZK-LCG2,finished
4051885793,2740728.0,7605705.0,155981.0,56208.0,1.0,1100,1301059.0,1308231.0,2437232.0,0.273909,295,1100,8.79,0,15433,16827808,0,405,2871689.0,2880508.0,4425960.0,2823,14,40452820,1771,392,8,597,1077,13950252.0,NIKHEF-ELPROD-HighMem,finished
4051885795,2644832.0,8821850.0,187482.0,56208.0,1.0,1100,1408746.0,1416320.0,2611926.0,0.2708538,276,1100,11.87,0,14602,21919288,0,419,2927569.0,2936132.0,4383564.0,2823,18,47057550,1775,342,8,565,1019,13903218.0,NIKHEF-ELPROD-HighMem,finished
4051885798,2199956.0,5238964.0,124327.0,52208.0,1.0,1100,1485912.0,1493380.0,2681293.0,0.5755286999999999,381,1100,12.2,0,9486,18464952,0,410,2949155.0,2957532.0,4449368.0,2823,15,42660052,2208,483,15,53,662,5480448.0,NIKHEF-ELPROD-HighMem,finished
4051885799,2195752.0,6093360.0,149398.0,53836.0,1.0,1100,1481066.0,1488792.0,2656768.0,0.59836066,365,1100,12.22,0,8741,19617796,0,413,2804213.0,2813116.0,4430036.0,2823,16,44568219,2209,422,14,94,610,5451776.0,NIKHEF-ELPROD-HighMem,finished
4051885804,1937964.0,4049949.0,113241.0,54188.0,1.0,1100,1398514.0,1405446.0,2331402.0,0.66183573,411,1100,11.84,0,8898,20198588,0,415,2959771.0,2968436.0,4450056.0,2823,16,44740184,2372,512,15,37,621,5480448.0,NIKHEF-ELPROD-HighMem,finished
